capacity,fitness,generation
8623.529411764706,7.701576765741566,0
8517.64705882353,7.159765621746462,0
2764.7058823529414,inf,0
6894.117647058823,2.6228139304942353,0
7247.058823529412,3.0912395361341773,0
7494.117647058823,3.620243435557172,0
8058.823529411765,5.004326732400478,0
7458.823529411765,3.6231061948475536,0
6964.705882352941,inf,0
1564.7058823529412,inf,0
8658.823529411766,7.984691122823843,0
6788.235294117647,2.48133573804663,0
7352.941176470588,3.31584004006775,0
2941.176470588235,inf,0
8870.588235294119,9.76106620028737,0
7776.470588235294,4.354273001838863,0
3717.6470588235293,inf,0
7811.764705882353,4.460884604195831,0
7352.941176470588,3.31584004006775,0
2941.176470588235,inf,0
6011.764705882353,inf,0
9611.764705882353,25.644520401523657,0
7952.941176470588,4.9312940180182565,0
7352.941176470588,3.31584004006775,0
3082.3529411764707,inf,0
6788.235294117647,2.48133573804663,0
6964.705882352941,inf,0
7282.35294117647,3.19891795101543,0
8517.64705882353,7.159765621746462,0
8164.705882352941,5.3292485001927945,0
9894.117647058823,93.31016281621135,0
6294.117647058823,inf,0
6788.235294117647,2.48133573804663,1
7282.35294117647,3.19891795101543,1
7423.529411764706,3.411196682554904,1
2870.5882352941176,inf,1
5623.529411764706,inf,1
9647.058823529413,31.288240384027187,1
7494.117647058823,3.620243435557172,1
8517.64705882353,7.159765621746462,1
8235.29411764706,5.782865671032132,1
8341.176470588234,6.225930136875151,1
8623.529411764706,7.701576765741566,1
8164.705882352941,5.3292485001927945,1
6682.35294117647,inf,1
8482.35294117647,7.196825462916801,1
6964.705882352941,inf,1
8588.235294117647,7.797037952107694,1
7352.941176470588,3.31584004006775,1
7952.941176470588,4.9312940180182565,1
7494.117647058823,3.620243435557172,1
7952.941176470588,4.9312940180182565,1
7388.235294117647,3.4425673656375655,1
1635.2941176470588,inf,1
7458.823529411765,3.6231061948475536,1
1564.7058823529412,inf,1
7776.470588235294,4.354273001838863,1
7776.470588235294,4.354273001838863,1
7247.058823529412,3.0912395361341773,1
7458.823529411765,3.6231061948475536,1
7458.823529411765,3.6231061948475536,1
7282.35294117647,3.19891795101543,1
8552.941176470587,7.740282759861724,1
2447.0588235294117,inf,1
7494.117647058823,3.620243435557172,2
7352.941176470588,3.31584004006775,2
7247.058823529412,3.0912395361341773,2
7388.235294117647,3.4425673656375655,2
6823.529411764706,2.5496635468606743,2
7211.764705882353,2.9783780598030525,2
8129.411764705882,5.425731771714006,2
7282.35294117647,3.19891795101543,2
8376.470588235294,6.597330145692805,2
8764.70588235294,9.55272088605972,2
7247.058823529412,3.0912395361341773,2
7564.705882352941,3.8137226819438794,2
8588.235294117647,7.797037952107694,2
7494.117647058823,3.620243435557172,2
8341.176470588234,6.225930136875151,2
7705.882352941177,4.194027333564709,2
7388.235294117647,3.4425673656375655,2
7917.64705882353,4.866688497083539,2
7282.35294117647,3.19891795101543,2
7423.529411764706,3.411196682554904,2
8517.64705882353,7.159765621746462,2
8270.588235294119,5.975350534824747,2
3858.823529411765,inf,2
6788.235294117647,2.48133573804663,2
7811.764705882353,4.460884604195831,2
8200.0,5.776044786706746,2
1635.2941176470588,inf,2
7282.35294117647,3.19891795101543,2
7458.823529411765,3.6231061948475536,2
7247.058823529412,3.0912395361341773,2
8235.29411764706,5.782865671032132,2
7952.941176470588,4.9312940180182565,2
7388.235294117647,3.4425673656375655,3
7352.941176470588,3.31584004006775,3
7211.764705882353,2.9783780598030525,3
8270.588235294119,5.975350534824747,3
7247.058823529412,3.0912395361341773,3
7388.235294117647,3.4425673656375655,3
7211.764705882353,2.9783780598030525,3
6858.823529411765,2.5775757959920966,3
7529.411764705882,3.735062621138998,3
7282.35294117647,3.19891795101543,3
7247.058823529412,3.0912395361341773,3
7211.764705882353,2.9783780598030525,3
7388.235294117647,3.4425673656375655,3
6647.058823529412,inf,3
7282.35294117647,3.19891795101543,3
6788.235294117647,2.48133573804663,3
7247.058823529412,3.0912395361341773,3
7247.058823529412,3.0912395361341773,3
7494.117647058823,3.620243435557172,3
6823.529411764706,2.5496635468606743,3
6788.235294117647,2.48133573804663,3
6788.235294117647,2.48133573804663,3
9858.823529411764,73.1462289046178,3
5517.64705882353,inf,3
9647.058823529413,31.288240384027187,3
5835.294117647059,inf,3
7211.764705882353,2.9783780598030525,3
