hinge2joint,piston_area,accum_volume,accum_P0,fitness,generation
2.608235294117647,0.8588235294117647,0.15094117647058825,3.152941176470588,inf,0
1.323529411764706,0.7388235294117647,5.2483137254901955,5.8235294117647065,[8.37034139e+08],0
3.1588235294117646,0.43529411764705883,1.4898823529411764,5.9411764705882355,[761342.58606864],0
1.3847058823529412,0.8588235294117647,0.05698039215686275,4.882352941176471,inf,0
1.0023529411764707,0.4211764705882354,3.275137254901961,5.458823529411765,[6.14032177e+08],0
1.5529411764705883,0.5058823529411764,2.6409019607843134,4.023529411764706,[1.41743932e+10],0
1.8282352941176472,0.76,2.5234509803921568,5.094117647058823,inf,0
3.908235294117647,0.9541176470588235,5.530196078431373,4.08235294117647,inf,0
2.1188235294117646,0.12823529411764706,3.463058823529412,5.423529411764706,[1.15112632e+08],0
3.7858823529411763,0.8129411764705883,5.553686274509804,5.729411764705882,inf,0
3.7705882352941176,0.7423529411764707,3.8154117647058823,3.611764705882353,inf,0
1.6447058823529412,0.7988235294117647,5.48321568627451,5.0588235294117645,inf,0
3.816470588235294,0.3011764705882353,0.3388627450980392,3.2588235294117647,[3.28494144e+10],0
2.516470588235294,0.5976470588235294,5.412745098039216,5.552941176470588,inf,0
2.914117647058824,0.971764705882353,2.6409019607843134,4.152941176470588,inf,0
0.2223529411764706,0.21294117647058824,0.9261176470588236,5.729411764705882,[1.1455783e+09],0
2.072941176470588,0.7352941176470588,0.8086666666666666,5.188235294117647,inf,0
1.9352941176470588,0.5341176470588236,2.5234509803921568,4.905882352941177,[3.23130122e+08],0
1.3847058823529412,0.8588235294117647,0.36235294117647066,5.8235294117647065,[362054.44839245],0
0.9411764705882353,0.3647058823529412,2.030156862745098,5.047058823529412,[1.81338517e+08],0
1.0023529411764707,0.4211764705882354,0.9965882352941177,3.9529411764705884,[2.16891436e+08],0
3.1588235294117646,0.43529411764705883,3.4395686274509805,5.0,[1874605.13405475],0
1.0329411764705883,0.3223529411764706,2.5234509803921568,4.5058823529411764,[1.93012829e+08],0
0.6047058823529411,0.16705882352941176,0.9261176470588236,3.847058823529412,[1.72691384e+09],0
2.715294117647059,0.9894117647058823,4.989921568627452,4.929411764705883,inf,0
0.5588235294117647,0.30823529411764705,0.5267843137254902,3.6705882352941175,[13157318.93491996],0
0.13058823529411764,0.6505882352941177,1.1845098039215687,5.0588235294117645,[2.29774173e+09],0
1.9047058823529412,0.6152941176470588,4.426156862745098,5.458823529411765,[3398846.41314224],0
2.7611764705882353,0.34705882352941175,2.711372549019608,3.552941176470588,[3.39496829e+11],0
1.5988235294117648,0.7211764705882353,4.684549019607843,3.2941176470588234,[4317993.26384065],0
0.45176470588235296,0.8411764705882353,3.0872156862745097,4.741176470588235,[4.94066967e+08],0
1.751764705882353,0.9505882352941176,5.271803921568627,4.894117647058824,inf,0
3.4035294117647057,0.6929411764705883,4.238235294117647,4.564705882352941,inf,0
3.357647058823529,0.1388235294117647,1.4898823529411764,5.129411764705882,[2.02041916e+08],0
1.308235294117647,0.7705882352941176,0.8791372549019608,4.811764705882353,[20804296.56963387],0
1.2776470588235296,0.3752941176470589,4.96643137254902,4.552941176470588,[1.89699262e+09],0
0.2223529411764706,0.21294117647058824,0.832156862745098,5.729411764705882,[1.08326698e+09],0
2.18,0.5094117647058823,0.8086666666666666,5.188235294117647,[3119150.01679635],0
1.5529411764705883,0.13529411764705884,3.063725490196078,3.0470588235294116,[1.91660866e+08],0
2.6541176470588232,0.8058823529411765,1.959686274509804,5.329411764705883,inf,0
0.5741176470588235,0.7423529411764707,0.05698039215686275,5.247058823529412,[48869805.4215509],0
2.18,0.5094117647058823,1.1140392156862746,5.188235294117647,[3740916.70327526],0
1.9352941176470588,0.38941176470588235,3.298627450980392,3.8117647058823527,[2.65965098e+10],0
1.4000000000000001,0.8694117647058824,4.590588235294117,3.4705882352941178,[2151455.61141053],0
0.8035294117647059,0.6788235294117647,1.0435686274509803,4.176470588235294,[1.35193659e+09],0
1.8129411764705883,0.11764705882352941,3.3925882352941175,3.9647058823529413,[77204160.2419677],0
